,EPS,Earnings_Yield,Effect_of_forex_changes_on_cash,Weighted_Average_Shs_Out,Gross_Profit_Growth,Net_cash_flow_/_Change_in_cash,Net_Income_per_Share,Book_Value_per_Share_Growth,Weighted_Average_Shares_Growth,Revenue_Growth,Financing_Cash_Flow,Operating_Cash_Flow_growth,Operating_Cash_Flow_per_Share,Asset_Growth,Operating_Income_Growth,Retained_earnings_(deficit),SG&A_Expenses_Growth,EPS_Growth,Receivables_growth,Issuance_(buybacks)_of_shares
15441,-1.44,-0.0619,0.0,111624030.0,0.0026,301571000.0,-1.4435,-0.3411,0.4553,-0.0723,-12289000.0,-0.0677,4.6253,-0.0339,0.8297,665657000.0,-0.0604,0.8545,0.054,2623000.0
6746,1.44,0.0901,0.0,51259430.0,0.0858,17541000.0,1.4442,0.0222,0.0826,0.0953,120791000.0,0.596,-2.1064,0.1317,0.0879,20106000.0,0.1561,0.0,0.0,67602000.0
10949,-0.45,-0.0775,0.0,145304220.0,-0.0064,-20454000.0,-0.4515,-0.1229,-0.0375,-0.0663,-185211000.0,0.127,1.1176,-0.0937,-0.0597,-450612000.0,0.6308,-2.3448,0.9033,-43990000.0
2493,3.26,0.0778,0.0,521456450.0,0.0409,419284000.0,3.363,0.0877,-0.0127,0.0409,837972000.0,-1.2755,-2.1991,0.0855,0.3535,9313000000.0,0.0081,0.3416,0.0,-448000000.0
7613,2.29,0.0602,-11293000.0,28619898.0,0.0863,-73205000.0,2.2907,1e-04,0.0078,0.1047,-56893000.0,0.5825,2.6445,0.1062,-0.1611,716315000.0,0.0961,-0.2076,0.1252,-18008000.0
11333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6903,-0.11,-0.0205,0.0,21848488.0,-0.0409,-5384000.0,-0.1144,-0.0325,0.0033,-0.0409,26331000.0,-0.2202,0.7003,0.0215,-1.5002,-41050000.0,0.0959,-1.3333,0.0,86000.0
9771,1.6,0.042,-2000.0,23913704.0,0.041,-251000.0,1.6005,0.1022,-0.0579,0.0483,-80764000.0,-0.0247,5.8868,-0.0211,0.0299,292521000.0,0.0496,0.0,0.0196,37000.0
13429,3.44,0.0591,0.0,14921623.0,0.338,61837000.0,3.4393,0.2185,-0.0277,0.2492,8104000.0,0.1074,3.9012,0.2601,0.2674,26284000.0,0.3392,-0.3435,0.2756,-39454000.0
5235,0.89,0.0671,-275000.0,14025721.0,0.0071,2063000.0,0.8754,0.0339,0.025,0.0028,-39144000.0,2.5403,3.3161,-0.0547,0.1331,47733000.0,0.0092,2.7971,-0.1552,843000.0
9071,1.23,0.0513,0.0,5460220.0,0.6867,1249000.0,1.226,0.3264,0.0078,0.445,-5926000.0,1.0238,1.7017,0.136,2.1234,-4945000.0,0.0323,2.7971,0.6493,-149000.0
3273,1.1317,0.0311,675008.06,16973916.0,0.7787,-13593316.0,7.7254,0.5186,0.0464,0.717,104519860.0,0.6882,14.3718,0.4715,0.5921,161914110.0,0.7181,0.5021,0.5492,67283176.0
10143,-0.32,-0.116,0.0,18244672.0,-0.2641,-2839000.0,-0.318,-0.1083,0.0018,-0.0839,-7285000.0,-0.6405,0.2432,-0.0775,-1.5037,-21388000.0,0.4518,-2.3448,1.1213,0.0
5274,-0.16,-0.0291,0.0,16006967.0,0.1124,-113000.0,-0.1562,-0.0959,0.0802,0.0391,-1964000.0,1.4874,0.5541,0.0268,1.3801,-110378000.0,0.0777,-0.4545,0.0056,-309000.0
13936,3.48,0.0475,-11000000.0,688334400.0,0.0537,153000000.0,3.5558,-0.1156,-0.0495,0.1006,-1363003000.0,0.1741,6.4575,0.1005,0.176,6241000000.0,0.0191,0.2747,0.0,-570775000.0
2890,0.78,0.0371,0.0,7068382.0,0.1047,-33454000.0,0.7992,0.132,0.6426,0.1047,196075000.0,2.1095,1.644,0.4103,-0.0828,10434000.0,0.1335,-0.4658,0.0,44911000.0
1165,0.03,0.001,0.0,66080470.0,0.7478,-180526000.0,0.0306,0.0042,0.0034,0.6804,18099000.0,0.4876,13.4622,0.028,1.2792,8727000.0,0.4165,1.0155,-0.0818,-5147000.0
789,-1.25,-0.0401,0.0,30944432.0,0.3277,58695000.0,-1.2472,0.7437,0.3048,0.3149,98952000.0,-1.4931,-0.9485,0.8773,-0.4938,-238565000.0,0.3607,-0.1261,0.4517,104002000.0
13565,0.74,0.02,2376000.0,43565304.0,0.2919,51076000.0,0.7416,1.048,0.1388,0.351,129945000.0,1.3203,0.4564,1.0319,-0.2712,-31508000.0,0.6695,1.1143,0.7301,131660000.0
3348,-0.6,-0.1351,839000.0,96491390.0,0.6438,-22613000.0,-0.6,-0.1848,0.0166,0.7356,129580000.0,-1.6099,-0.281,0.6904,-2.0454,-688213000.0,0.7181,-2.3448,1.1213,8017000.0
14414,-0.07,-0.0075,0.0,10000000.0,-0.4304,32000.0,-1e-04,0.0,-0.0624,-0.2962,9055000.0,-0.184,0.1726,0.0,-1.0,-613000.0,-0.1919,0.5625,0.0,20930000.0
16813,0.7,0.0659,0.0,12495089.0,-0.0027,1006000.0,0.4329,0.0557,0.0026,-0.0027,2388000.0,0.2193,2.1865,0.0255,-0.009,145430000.0,0.0064,-0.5625,0.0172,50000.0
14063,0.52,0.0202,0.0,63870096.0,0.2814,7000000.0,0.4916,0.0,0.0,0.1775,202900000.0,-0.5608,0.5198,0.411,0.1423,40400000.0,0.3469,-0.1186,0.3419,157286000.0
15510,2.42,0.1254,0.0,183081780.0,1.1081,-319396000.0,2.4197,-0.029,0.4626,0.8047,432961000.0,1.0124,3.7806,0.3752,1.6316,-1005000000.0,0.2195,1.3036,0.3322,-5364000.0
15607,0.16,0.1254,0.0,58818030.0,0.6816,1643000.0,0.1644,1.048,0.0057,0.2884,-5815000.0,2.5403,0.1525,-0.0173,2.1234,-29653000.0,0.1244,1.3556,-0.3082,19000.0
15058,0.47,0.021,0.0,174910530.0,0.1067,135198000.0,0.5322,0.3863,0.1372,0.1692,-190377000.0,-0.2136,1.8532,0.6888,-0.1781,-82566000.0,0.212,-0.7081,1.1213,-5660000.0
14248,-0.16,-0.0494,0.0,43669270.0,-0.2211,240000.0,-0.1425,-0.2237,0.0233,-0.2962,125000.0,1.4612,0.0396,-0.0347,0.9242,-253709000.0,-0.1919,0.9204,-0.2147,125000.0
2136,-1.0,-0.4444,0.0,47291360.0,-0.0645,938940.0,-0.998,-0.1434,0.3787,0.154,37131852.0,-1.1581,-0.8355,0.1353,-0.5978,-153004370.0,0.1371,-0.1111,0.3916,37619760.0
6197,0.2443,0.0394,-257135.52,25863844.0,-0.2222,-101825660.0,3.6734,0.0917,0.0183,-0.0748,-292105950.0,-0.4569,14.3718,-0.1228,-0.5256,300848540.0,-0.033,-0.7262,-0.0599,0.0
7695,-3.73,-0.1457,-653000.0,14009059.0,-0.0185,-2312000.0,-3.7336,-0.2485,0.0129,-0.0498,15290000.0,-0.2449,3.0989,-0.0628,-0.8059,-1005000000.0,-0.0063,-0.211,0.035,6046000.0
