"","Revenue","EPS_Diluted","Free_Cash_Flow","priceEarningsToGrowthRatio","ebitperRevenue","niperEBT","netProfitMargin","returnOnAssets","eBITperRevenue","Return_on_Tangible_Assets","Book_Value_per_Share_Growth","Class"
"14339",125258000,-1.075,-14029000,0,-0.18777243768861,0,-0.19654632837823,-0.3913,-0.18777243768861,-0.3913,2.7611,"0"
"14340",263736000,0.94,18746000,4.1404173787616,0.077653410986744,6.5299417064123,0.09344192677526,0.2346,0.077653410986744,0.2346,0.0784,"0"
"14341",1.74e+08,0.94,1.9e+07,0,0,0,0,0,0,0,0,"0"
"14342",2591846000,53.89,207697000,10.145857679014,0.083427024599455,1.6564515421401,0.11653624482319,0.2705,0.083427024599455,0.2705,0.1977,"1"
"14343",258139000,2.09,28835000,11.232095609389,0.17715261932525,1.1345555487768,0.14408128953781,0.1196,0.17715261932525,0.1196,0.13,"0"
"14344",266504000,-0.19,-27567000,0,0.041564104103503,-6.4586129753915,-0.032498574130219,-0.0364,0.041564104103503,-0.0364,-0.0433,"1"
"14345",283749000,1.6,31939000,18.473813618519,0.083626726437802,0.69541199291558,0.058118266496093,0.1084,0.083626726437802,0.1084,0.0097,"0"
"14346",79660000,-0.17,1377000,0,-0.030743158423299,0,-0.052924930956565,-0.1376,-0.030743158423299,-0.1376,-0.087,"1"
"14347",514530000,0.18,-13920000,27.04513880597,0.023059879890385,0.92899159663866,0.0085942510640779,0.0212,0.023059879890385,0.0212,0.0073,"0"
"14348",390522569,1.26,-18438670,5.0357100748321,0.089226899457378,0.85138285350239,0.0692070424232,0.1413,0.089226899457378,0.1413,0.2453,"0"
"14349",587751000,2.49,6679000,14.149678950755,0.061779563114312,0.62666708020594,0.034376802421434,0,0.061779563114312,0,0.0853,"1"
"14350",175287982,0.66,3720576,10.650946773602,0.059133974170574,0.85131971340644,0.03700590836855,0.1228,0.059133974170574,0.1228,0.0122,"0"
"14351",319881000,-0.14,-15387000,0,-0.029595380782228,0,-0.029848599948106,-0.1963,-0.029595380782228,-0.1963,-0.4225,"0"
"14352",8.61e+08,0.95,2.2e+07,0,0,0,0,0,0,0,0,"1"
"14353",1961971000,2.26,-53771000,12.551845701364,0.070948041535782,0.5990575446295,0.036739075144332,0,0.070948041535782,0,0.0935,"0"
"14354",154069000,0.24,8319000,35.965911487458,0.093983864372456,0.57851927165172,0.040624655186962,0.0309,0.093983864372456,0.0309,0.3264,"0"
"14355",338227000,-1.96,4187000,0,-0.16980903357804,0,-0.22221170988715,-0.146,-0.16980903357804,-0.146,-0.5608,"0"
"14356",568952000,0.4,31505000,24.199372620508,0.034709430672535,0.5777800283573,0.020054415838243,0.0521,0.034709430672535,0.0521,0.086,"0"
"14357",412462000,-0.6,-22330000,0,0.0089535520847981,0,-0.023165770422487,-0.048,0.0089535520847981,-0.048,-0.0937,"0"
"14358",11954267,-0.34,-5298057,0,-0.65902535052965,0,-0.66076832648961,-0.4486,-0.65902535052965,-0.4486,0.846,"1"
"14359",102805621,-0.59,-5093804,0,-0.28529780487392,0,-0.27573856102674,-0.2386,-0.28529780487392,-0.2386,-0.0502,"0"
"14360",170687000,-0.02,-11714000,0,-0.026200003515206,0,-0.0039428896166668,-0.0065,-0.026200003515206,-0.0065,0.0263,"1"
"14361",474927000,2.4,58791000,15.109285512694,0.1500251617617,1.0455258433336,0.11648948154137,0.323,0.1500251617617,0.323,0.1596,"0"
"14362",773797000,4.17,40641000,27.444927603741,0.077183033793101,0.68658309364881,0.049050332322302,0.1388,0.077183033793101,0.1388,0.1059,"0"
"14363",153877000,1.14,-3554000,19.379636543699,0.04198158269267,0.70772735237428,0.026248237228436,0.1386,0.04198158269267,0.1386,0.006,"0"
"14364",23348714,-1.58,-4489040,0,-0.39262295131115,0,-0.5581513825558,1.3194,-0.39262295131115,1.3194,-0.4965,"0"
"14365",1442718000,-1.4,10027000,0,-0.04021021433156,0,-0.026267780675087,-0.0653,-0.04021021433156,-0.0653,0.017,"0"
"14366",65851000,-1.5,-431037000,0,-0.41115548738819,0,-0.70377063370336,0.8655,-0.41115548738819,0.8655,-0.1159,"0"
